,Unnamed: 0,Date,EXCHCD,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,SHROUT,OPENPRC,vwretx,mid_price,buyer_seller_init,effective_cost,quoted,prop_quoted,effective,prop_effective
18,1031588,2019-01-29,3.0,INTC,INTEL CORP,46.33,46.97,46.54,20936842.0,-0.003639,4497000.0,46.78,-0.000924,46.65,0,0.0023579849946409313,0.6400000000000006,0.0137191854233655,0.21999999999999886,0.00472711645896001
19,1031589,2019-01-30,3.0,INTC,INTEL CORP,46.45,47.68,47.54,26925544.0,0.021487,4497000.0,46.68,0.014227000000000002,47.065,1,0.010092425369170327,1.2299999999999969,0.026134069903325122,0.9500000000000028,0.019983172065629003
20,1031590,2019-01-31,3.0,INTC,INTEL CORP,46.1,47.18,47.12,42976716.0,-0.008834999999999999,4497000.0,46.7,0.008282,46.64,1,0.010291595197255508,1.0799999999999983,0.023156089193825006,0.9599999999999937,0.02037351443123926
21,1031591,2019-02-01,3.0,INTC,INTEL CORP,47.01,49.05,48.73,37380726.0,0.034168000000000004,4497000.0,47.06,0.001282,48.03,1,0.014574224443056333,2.039999999999999,0.042473454091192984,1.3999999999999915,0.0287297352760105
22,1031592,2019-02-04,3.0,INTC,INTEL CORP,48.24,49.24,49.22,20870094.0,0.010055,4497000.0,48.62,0.006648,48.74,1,0.009848173984406993,1.0,0.02051702913418137,0.9599999999999937,0.019504266558309502
23,1031593,2019-02-05,3.0,INTC,INTEL CORP,49.18,50.7159,50.01,31558270.0,0.01605,4497000.0,49.18,0.004376,49.94795,1,0.0012422932272495523,1.535899999999998,0.030750010761202373,0.12409999999999854,0.002481503699260119
24,1031594,2019-02-06,3.0,INTC,INTEL CORP,49.82,50.64,49.9,21630173.0,0.004099,4497000.0,49.95,-0.0026100000000000003,50.230000000000004,0,0.006569779016524097,0.8200000000000003,0.01632490543499901,0.6600000000000108,0.01322645290581184
25,1031595,2019-02-07,3.0,INTC,INTEL CORP,48.68,49.85,49.23,27811375.0,-0.013427000000000001,4497000.0,49.5,-0.008941,49.265,0,0.0007104435197402557,1.1700000000000017,0.023749111945600358,0.07000000000000739,0.001421897217144168
26,1031596,2019-02-08,3.0,INTC,INTEL CORP,48.01,49.02,48.84,18821015.0,-0.007922,4497000.0,48.77,0.000396,48.515,1,0.006698959084819186,1.0100000000000051,0.02081830361743801,0.6500000000000057,0.013308763308763424
27,1031597,2019-02-11,3.0,INTC,INTEL CORP,48.58,49.32,48.77,17992188.0,-0.001433,4497000.0,49.02,0.0012380000000000002,48.95,0,0.0036772216547497384,0.740000000000002,0.0151174668028601,0.35999999999999943,0.0073815870412138485
28,1031598,2019-02-12,3.0,INTC,INTEL CORP,49.27,50.14,50.01,18010572.0,0.025425,4497000.0,49.36,0.012305,49.705,1,0.006136203601247354,0.8699999999999974,0.017503269288803892,0.6099999999999994,0.012197560487902409
29,1031599,2019-02-13,3.0,INTC,INTEL CORP,50.0,50.81,50.47,17681907.0,0.009198,4497000.0,50.13,0.002718,50.405,1,0.0012895546076777647,0.8100000000000023,0.01606983434183121,0.12999999999999545,0.0025757875965919446
30,1031600,2019-02-14,3.0,INTC,INTEL CORP,50.35,51.04,50.81,17491665.0,0.006737000000000001,4497000.0,50.41,-0.0017629999999999998,50.695,1,0.0022684682907584968,0.6899999999999977,0.0136108097445507,0.23000000000000398,0.0045266679787444196
31,1031601,2019-02-15,3.0,INTC,INTEL CORP,51.09,51.67,51.66,22486269.0,0.016729,4497000.0,51.25,0.010757,51.38,1,0.0054495912806538345,0.5799999999999983,0.011288439081354578,0.5599999999999881,0.01084010840108378
32,1031602,2019-02-19,3.0,INTC,INTEL CORP,51.34,51.71,51.4,15570472.0,-0.005033,4497000.0,51.35,0.002294,51.525000000000006,0,0.0024260067928191576,0.36999999999999744,0.007180980106744249,0.2500000000000142,0.004863813229572261
33,1031603,2019-02-20,3.0,INTC,INTEL CORP,51.06,51.73,51.39,21581826.0,-0.000195,4497000.0,51.63,0.001967,51.394999999999996,0,9.728572818358698e-05,0.6699999999999946,0.013036287576612408,0.009999999999990905,0.00019459038723469363
34,1031604,2019-02-21,3.0,INTC,INTEL CORP,51.21,51.84,51.41,16141441.0,0.000389,4497000.0,51.32,-0.0035979999999999996,51.525000000000006,0,0.0022319262493936745,0.6300000000000026,0.012227074235807909,0.2300000000000182,0.004473837774752348
35,1031605,2019-02-22,3.0,INTC,INTEL CORP,52.055,52.975,52.49,31917946.0,0.021008000000000002,4497000.0,52.7,0.006314,52.515,0,0.000476054460630269,0.9200000000000017,0.01751880415119493,0.04999999999999716,0.0009525623928366766
36,1031606,2019-02-25,3.0,INTC,INTEL CORP,52.86,53.61,53.1,20695252.0,0.011621,4497000.0,53.06,0.00126,53.235,0,0.0025359256128486525,0.75,0.014088475626937165,0.269999999999996,0.0050847457627117894
37,1031607,2019-02-26,3.0,INTC,INTEL CORP,52.91,53.37,53.23,16064913.0,0.002448,4497000.0,53.01,-0.0015140000000000002,53.14,1,0.001693639442980736,0.46000000000000085,0.008656379375235244,0.1799999999999926,0.003381551756528135
38,1031608,2019-02-27,3.0,INTC,INTEL CORP,52.51,53.38,53.24,17582109.0,0.000188,4497000.0,52.76,0.000356,52.945,1,0.005571819813013537,0.8700000000000045,0.016432146567192454,0.5900000000000034,0.011081893313298336
39,1031609,2019-02-28,3.0,INTC,INTEL CORP,52.81,53.18,52.96,18376720.0,-0.005259000000000001,4497000.0,52.92,-0.003059,52.995000000000005,0,0.0006604396641193262,0.36999999999999744,0.006981790734974949,0.07000000000000739,0.0013217522658611667
40,1031610,2019-03-01,3.0,INTC,INTEL CORP,52.89,53.68,53.3,18343734.0,0.00642,4497000.0,53.44,0.005966,53.285,1,0.00028150511400958187,0.7899999999999991,0.014825936004504067,0.030000000000001137,0.0005628517823639988
41,1031611,2019-03-04,3.0,INTC,INTEL CORP,53.205,54.1,53.94,21718345.0,0.012006999999999999,4497000.0,53.75,-0.004261,53.6525,1,0.005358557383160044,0.8950000000000031,0.016681422114533398,0.5749999999999886,0.010659992584352775
42,1031612,2019-03-05,3.0,INTC,INTEL CORP,53.11,53.99,53.68,21038045.0,-0.0048200000000000005,4497000.0,53.85,-0.001349,53.55,1,0.0024276377217554166,0.8800000000000026,0.016433239962651777,0.2600000000000051,0.004843517138599201
43,1031613,2019-03-06,3.0,INTC,INTEL CORP,52.94,53.65,52.95,14717982.0,-0.013599000000000002,4497000.0,53.63,-0.0077989999999999995,53.295,0,0.006473402758232458,0.7100000000000009,0.013322075241579901,0.6899999999999977,0.013031161473087775
44,1031614,2019-03-07,3.0,INTC,INTEL CORP,52.36,52.985,52.6,18067352.0,-0.0066099999999999996,4497000.0,52.77,-0.007670999999999999,52.6725,0,0.0013764298258103947,0.625,0.011865774360434763,0.14499999999999602,0.0027566539923953616
45,1031615,2019-03-08,3.0,INTC,INTEL CORP,51.7,52.56,52.48,16778891.0,-0.002281,4497000.0,51.97,-0.0019920000000000003,52.13,1,0.006713984270093887,0.8599999999999994,0.016497218492230948,0.6999999999999886,0.013338414634146126
46,1031616,2019-03-11,3.0,INTC,INTEL CORP,52.57,53.65,53.35,18941836.0,0.016578,4497000.0,52.88,0.014315999999999999,53.11,1,0.004518922990020749,1.0799999999999983,0.02033515345509317,0.480000000000004,0.008997188378631752
47,1031617,2019-03-12,3.0,INTC,INTEL CORP,53.175,53.96,53.57,20765577.0,0.004124,4497000.0,53.34,0.002711,53.567499999999995,1,4.667008913996046e-05,0.7850000000000037,0.014654407989919332,0.005000000000009663,9.333582228877475e-05
48,1031618,2019-03-13,3.0,INTC,INTEL CORP,53.65,54.57,54.37,25503112.0,0.014934000000000001,4497000.0,54.0,0.00635,54.11,1,0.0048050267972647945,0.9200000000000017,0.017002402513398664,0.519999999999996,0.009564097848077912
49,1031619,2019-03-14,3.0,INTC,INTEL CORP,53.33,54.45,53.44,26619560.0,-0.017105000000000002,4497000.0,54.3,-0.001327,53.89,0,0.008350343291890942,1.1200000000000045,0.020783076637595186,0.9000000000000057,0.01684131736526957
50,1031620,2019-03-15,3.0,INTC,INTEL CORP,53.68,54.69,54.33,46431939.0,0.016654,4497000.0,53.68,0.004445,54.185,1,0.002676017347974458,1.009999999999998,0.0186398449755467,0.28999999999999204,0.005337750782256434
51,1031621,2019-03-18,3.0,INTC,INTEL CORP,53.87,54.505,54.1,16260444.0,-0.004233,4498668.0,54.42,0.004419,54.1875,0,0.0016147635524797893,0.6350000000000051,0.011718569780853613,0.17499999999999716,0.003234750462107156
52,1031622,2019-03-19,3.0,INTC,INTEL CORP,54.0,54.645,54.17,18255367.0,0.001294,4498668.0,54.47,-0.00072,54.322500000000005,0,0.002807308205623883,0.6450000000000031,0.011873533066409004,0.3050000000000068,0.0056304227432159275
