,effective_cost,quoted,prop_quoted,effective,prop_effective
50,0.002676017347974458,1.009999999999998,0.0186398449755467,0.28999999999999204,0.005337750782256434
51,0.0016147635524797893,0.6350000000000051,0.011718569780853613,0.17499999999999716,0.003234750462107156
52,0.002807308205623883,0.6450000000000031,0.011873533066409004,0.3050000000000068,0.0056304227432159275
53,0.003425608739931399,0.7899999999999991,0.01462827515970742,0.36999999999999034,0.006874767744332782
54,0.004134889276853704,1.1499999999999986,0.02113387852614166,0.44999999999998863,0.008235724743777244
55,0.012102944586135004,1.4050000000000011,0.026060746580106674,1.3050000000000068,0.024502440856177372
56,0.003398791540785493,1.1700000000000017,0.02209214501510577,0.35999999999999943,0.0068207654414550855
57,0.0006553693474393145,0.730000000000004,0.01366913210373568,0.06999999999999318,0.0013098802395208305
58,0.004494382022471948,0.9200000000000017,0.01722846441947569,0.480000000000004,0.009029345372460572
59,9.415309292901708e-05,0.6699999999999946,0.012616514452499662,0.009999999999990905,0.0001882884579173584
60,0.0011160714285713387,0.5600000000000023,0.01041666666666671,0.11999999999999034,0.0022346368715081997
61,0.003220760099383402,0.46999999999999886,0.008650041409772685,0.3499999999999943,0.006420840212804886
62,0.0027975235037835983,0.5749999999999957,0.01054803944049522,0.3050000000000068,0.005610743193524776
63,0.0007215007215007061,1.1000000000000014,0.019841269841269868,0.0799999999999983,0.001441961067051159
64,0.0038596176285791836,0.8699999999999974,0.015617987613320124,0.4300000000000068,0.00768955650929912
65,0.003428983937917431,1.0800000000000054,0.019491066594477628,0.38000000000000966,0.006834532374100893
66,0.003785830178474867,0.5399999999999991,0.009734991887506745,0.4200000000000017,0.007543103448275893
67,0.002809752560500338,0.5300000000000011,0.009607541013323687,0.3100000000000023,0.005603759942154777
68,0.002878215506385979,0.5399999999999991,0.00971397733405287,0.3199999999999932,0.005739910313901223
69,0.0008952551477171757,0.4399999999999977,0.007878245299910434,0.10000000000000853,0.0017921146953406547
70,0.004540194071040602,0.6499999999999986,0.011573043710495834,0.5099999999999909,0.009039347749025007
