,Component 1,Component 2
0,1.0631730938861956,1.7910514502156154
1,4.289757356709229,3.187649899960618
2,3.0030492063283716,2.398640204776394
3,0.21800731642500729,0.4257545118763787
4,0.08677953154470258,0.7062933703030672
5,0.7853438007436885,0.5153671079535619
6,0.970243045964157,1.4438079290983685
7,0.5105902240743655,0.24951490972084814
8,0.6554202168697463,0.6611927467855172
9,0.7990223596534568,0.6129128965622433
10,0.37332395067968005,0.16139968601452995
11,0.22689480361428968,0.10861879693078981
12,0.5878151582162229,0.5155778153153445
13,0.48880030857566115,0.046795241519620674
14,0.6220728453934898,0.11868862689231965
15,0.42004317792744833,1.369910878318597
16,0.9658223796657033,1.754831152213625
17,0.386242721787777,0.06371846211259437
18,0.28218474803225196,0.4359431846996685
19,0.6789034498454974,1.3093178848888685
20,0.6368576451191829,1.1395008173880319
21,3.0617899102208868,2.36740714641062
22,0.40689131950014623,0.9116811423161163
23,0.39722906511874023,0.8011116349828233
24,0.5742477197519086,0.02713717241911112
25,0.33933928492821464,0.3892491343699463
26,0.3781691693794795,0.2620946600948683
27,0.8367126280896408,0.5951258561248295
28,0.629935938349289,0.0768537064608099
29,0.12148059793081646,0.20052565021074914
30,0.2771366124097049,0.37674862414117494
31,0.5010161671748051,0.3797365202007191
32,0.1570114540379317,0.4604459969395315
33,0.4713592756270885,0.05966169813269855
34,0.16701431776202214,0.37890836983074694
35,0.17612012978387798,0.04392927343324881
36,0.4248245786219548,0.38120077798746876
37,0.2758150658436749,0.3262286689647524
38,0.8287331444701602,0.23620333736520338
39,0.7460532327127887,0.20003944101584478
40,0.26135032078122933,0.049136641545563
41,0.8742024789556503,0.2613763141158604
42,0.5100931005667773,0.30171499791160383
43,0.4552958057188047,0.06601154998348917
44,0.1340407166591753,0.2514713829461892
45,0.5767902013574127,0.037694304211408805
46,0.9224812072822555,0.23021857441803986
47,0.3504024023736658,0.01826470454207206
48,0.984383890311235,0.37515717844434315
49,0.04357144266203,0.7462855126001574
50,0.5268418774483384,0.17475696479039196
51,0.05684499657310019,0.2753689767945967
52,0.3512128122941474,0.4431542570335325
53,0.7679284788048724,0.5014245916736269
54,0.9303240038077292,0.20198207693936784
55,1.3770956703384043,1.6626393657206924
56,0.6407122693766605,0.06269890650389416
57,0.22749560065945207,0.12529959946563812
58,1.02709481832785,0.45281037442766836
59,0.49583309516687296,0.061719851180944536
60,0.3259551570677547,0.2298476774351845
61,0.2338889834884709,0.5470784613195145
62,0.24580508637625562,0.46254101972372286
63,0.14576574632073663,0.2020985716711407
64,1.0031708883299801,0.5271470215602426
65,0.7621692972450052,0.20690768062780257
66,0.5142884665230223,0.6030647882591126
67,0.17888900681183972,0.4711194423479893
68,0.2129838623720907,0.47543630261930864
69,0.5874665873771695,0.2203515225302346
70,0.761205272405473,0.5626884197720531
71,0.36339334406533563,0.14977194704859847
72,0.17184843046439774,0.5242566765774962
73,0.7535189025333656,0.3527189707438452
74,0.40547319369678037,0.027094607638127807
75,0.32355088706158996,0.36284368511592613
76,0.6237454930572719,0.1694982735662783
77,0.3213922213810733,0.3154321045171161
78,0.7629951357295593,0.13429929090091117
79,0.03613129668549412,0.6112846872241812
