Date,AAPL,IBM,INTC,MSFT,GSPC
2020-12-31,132.69000244140625,125.87999725341797,49.81999969482422,222.4199981689453,3756.070068359375
2021-01-04,129.41000366210938,123.94000244140625,49.66999816894531,217.69000244140625,3700.64990234375
2021-01-05,131.00999450683594,126.13999938964844,50.61000061035156,217.89999389648438,3726.860107421875
2021-01-06,126.5999984741211,129.2899932861328,51.099998474121094,212.25,3748.139892578125
2021-01-07,130.9199981689453,128.99000549316406,52.189998626708984,218.2899932861328,3803.7900390625
2021-01-08,132.0500030517578,128.52999877929688,51.650001525878906,219.6199951171875,3824.679931640625
2021-01-11,128.97999572753906,128.5800018310547,51.540000915527344,217.49000549316406,3799.610107421875
2021-01-12,128.8000030517578,129.2100067138672,53.2400016784668,214.92999267578125,3801.18994140625
2021-01-13,130.88999938964844,126.91999816894531,56.95000076293945,216.33999633789062,3809.840087890625
2021-01-14,128.91000366210938,128.97000122070312,59.25,213.02000427246094,3795.5400390625
2021-01-15,127.13999938964844,128.38999938964844,57.58000183105469,212.64999389648438,3768.25
2021-01-19,127.83000183105469,129.02000427246094,57.9900016784668,216.44000244140625,3798.909912109375
2021-01-20,132.02999877929688,130.0800018310547,58.66999816894531,224.33999633789062,3851.85009765625
2021-01-21,136.8699951171875,131.64999389648438,62.459999084472656,224.97000122070312,3853.070068359375
2021-01-22,139.07000732421875,118.61000061035156,56.65999984741211,225.9499969482422,3841.469970703125
2021-01-25,142.9199981689453,118.58000183105469,55.439998626708984,229.52999877929688,3855.360107421875
2021-01-26,143.16000366210938,122.48999786376953,55.209999084472656,232.3300018310547,3849.6201171875
2021-01-27,142.05999755859375,122.47000122070312,53.59000015258789,232.89999389648438,3750.77001953125
2021-01-28,137.08999633789062,120.08000183105469,56.06999969482422,238.92999267578125,3787.3798828125
2021-01-29,131.9600067138672,119.11000061035156,55.5099983215332,231.9600067138672,3714.239990234375
2021-02-01,134.13999938964844,120.54000091552734,56.689998626708984,239.64999389648438,3773.860107421875
2021-02-02,134.99000549316406,119.44000244140625,58.0,239.50999450683594,3826.31005859375
2021-02-03,133.94000244140625,119.12000274658203,57.68000030517578,243.0,3830.169921875
2021-02-04,137.38999938964844,121.0199966430664,58.790000915527344,242.00999450683594,3871.739990234375
2021-02-05,136.75999450683594,121.79000091552734,58.18000030517578,242.1999969482422,3886.830078125
2021-02-08,136.91000366210938,123.61000061035156,59.15999984741211,242.47000122070312,3915.590087890625
2021-02-09,136.00999450683594,122.0999984741211,58.779998779296875,243.77000427246094,3911.22998046875
2021-02-10,135.38999938964844,122.23999786376953,58.86000061035156,242.82000732421875,3909.8798828125
2021-02-11,135.1300048828125,120.91000366210938,60.65999984741211,244.49000549316406,3916.3798828125
2021-02-12,135.3699951171875,120.80000305175781,61.810001373291016,244.99000549316406,3934.830078125
2021-02-16,133.19000244140625,120.06999969482422,62.470001220703125,243.6999969482422,3932.590087890625
2021-02-17,130.83999633789062,119.97000122070312,61.849998474121094,244.1999969482422,3931.330078125
2021-02-18,129.7100067138672,120.7300033569336,61.61000061035156,243.7899932861328,3913.969970703125
2021-02-19,129.8699951171875,118.98999786376953,63.0099983215332,240.97000122070312,3906.7099609375
2021-02-22,126.0,120.86000061035156,60.709999084472656,234.50999450683594,3876.5
2021-02-23,125.86000061035156,120.70999908447266,61.119998931884766,233.27000427246094,3881.3701171875
2021-02-24,125.3499984741211,123.20999908447266,63.189998626708984,234.5500030517578,3925.429931640625
2021-02-25,120.98999786376953,122.47000122070312,60.400001525878906,228.99000549316406,3829.340087890625
2021-02-26,121.26000213623047,118.93000030517578,60.779998779296875,232.3800048828125,3811.14990234375
2021-03-01,127.79000091552734,120.73999786376953,62.880001068115234,236.94000244140625,3901.820068359375
2021-03-02,125.12000274658203,120.33000183105469,61.2400016784668,233.8699951171875,3870.2900390625
2021-03-03,122.05999755859375,122.36000061035156,59.900001525878906,227.55999755859375,3819.719970703125
2021-03-04,120.12999725341797,120.11000061035156,58.33000183105469,226.72999572753906,3768.469970703125
2021-03-05,121.41999816894531,122.83000183105469,60.7400016784668,231.60000610351562,3841.93994140625
2021-03-08,116.36000061035156,124.80999755859375,59.849998474121094,227.38999938964844,3821.35009765625
2021-03-09,121.08999633789062,124.18000030517578,62.66999816894531,233.77999877929688,3875.43994140625
2021-03-10,119.9800033569336,127.87000274658203,62.25,232.4199981689453,3898.81005859375
2021-03-11,121.95999908447266,127.13999938964844,63.310001373291016,237.1300048828125,3939.340087890625
2021-03-12,121.02999877929688,127.61000061035156,62.900001525878906,235.75,3943.340087890625
2021-03-15,123.98999786376953,128.5800018310547,63.790000915527344,234.80999755859375,3968.93994140625
2021-03-16,125.56999969482422,128.24000549316406,64.77999877929688,237.7100067138672,3962.7099609375
2021-03-17,124.76000213623047,129.02999877929688,65.77999877929688,237.0399932861328,3974.1201171875
2021-03-18,120.52999877929688,130.05999755859375,63.72999954223633,230.72000122070312,3915.4599609375
2021-03-19,119.98999786376953,128.89999389648438,63.7599983215332,230.35000610351562,3913.10009765625
2021-03-22,123.38999938964844,130.5500030517578,65.62999725341797,235.99000549316406,3940.590087890625
2021-03-23,122.54000091552734,130.4600067138672,63.47999954223633,237.5800018310547,3910.52001953125
2021-03-24,120.08999633789062,130.6199951171875,62.040000915527344,235.4600067138672,3889.139892578125
2021-03-25,120.58999633789062,133.07000732421875,62.02000045776367,232.33999633789062,3909.52001953125
2021-03-26,121.20999908447266,136.3800048828125,64.87000274658203,236.47999572753906,3974.5400390625
