Date,BAC,JPM,MS
2021-09-30,42.45000076293945,163.69000244140625,97.30999755859375
2021-10-01,43.08000183105469,167.1300048828125,99.05000305175781
2021-10-04,43.34000015258789,166.9499969482422,97.1500015258789
2021-10-05,44.220001220703125,168.66000366210938,99.19999694824219
2021-10-06,44.2400016784668,169.02000427246094,99.0999984741211
2021-10-07,44.119998931884766,170.08999633789062,98.80000305175781
2021-10-08,44.34000015258789,170.22000122070312,100.04000091552734
2021-10-11,43.779998779296875,166.63999938964844,97.29000091552734
2021-10-12,43.540000915527344,165.36000061035156,97.77999877929688
2021-10-13,43.13999938964844,161.0,98.56999969482422
2021-10-14,45.06999969482422,163.47000122070312,101.01000213623047
2021-10-15,46.369998931884766,166.61000061035156,102.13999938964844
2021-10-18,46.279998779296875,166.5500030517578,101.41000366210938
2021-10-19,46.47999954223633,168.57000732421875,101.75
2021-10-20,47.09000015258789,170.83999633789062,100.66000366210938
2021-10-21,46.83000183105469,169.5,100.27999877929688
2021-10-22,47.56999969482422,171.77999877929688,101.80000305175781
2021-10-25,47.5099983215332,170.94000244140625,101.91000366210938
2021-10-26,47.959999084472656,171.39999389648438,103.47000122070312
2021-10-27,47.040000915527344,167.8300018310547,101.87000274658203
2021-10-28,47.779998779296875,170.36000061035156,102.5
2021-10-29,47.779998779296875,169.88999938964844,102.77999877929688
2021-11-01,47.849998474121094,169.8000030517578,104.0
2021-11-02,47.880001068115234,170.47000122070312,104.66000366210938
2021-11-03,48.369998931884766,170.52999877929688,102.61000061035156
2021-11-04,47.33000183105469,168.2899932861328,99.79000091552734
2021-11-05,46.970001220703125,168.0500030517578,99.87000274658203
2021-11-08,47.34000015258789,169.05999755859375,100.06999969482422
2021-11-09,46.880001068115234,167.77999877929688,99.70999908447266
2021-11-10,47.22999954223633,167.6199951171875,97.7699966430664
2021-11-11,47.4900016784668,167.61000061035156,98.87999725341797
2021-11-12,46.90999984741211,166.86000061035156,99.8499984741211
2021-11-15,47.04999923706055,166.55999755859375,100.20999908447266
2021-11-16,47.08000183105469,165.36000061035156,100.69000244140625
2021-11-17,46.5099983215332,164.47000122070312,97.68000030517578
2021-11-18,46.31999969482422,163.0500030517578,97.68000030517578
2021-11-19,45.400001525878906,160.9199981689453,96.91000366210938
2021-11-22,46.279998779296875,164.35000610351562,99.31999969482422
2021-11-23,47.5,168.27999877929688,101.86000061035156
2021-11-24,47.630001068115234,166.9600067138672,101.12000274658203
2021-11-26,45.7599983215332,161.92999267578125,97.93000030517578
2021-11-29,45.59000015258789,161.22999572753906,97.2300033569336
2021-11-30,44.470001220703125,158.8300018310547,94.81999969482422
2021-12-01,43.84000015258789,157.88999938964844,95.26000213623047
2021-12-02,44.88999938964844,161.2100067138672,98.86000061035156
2021-12-03,43.869998931884766,158.2899932861328,98.20999908447266
2021-12-06,44.150001525878906,160.16000366210938,99.2699966430664
2021-12-07,44.709999084472656,162.57000732421875,102.5
2021-12-08,44.15999984741211,160.7100067138672,101.25
2021-12-09,44.4900016784668,160.4600067138672,100.58000183105469
2021-12-10,44.52000045776367,159.82000732421875,98.43000030517578
2021-12-13,43.58000183105469,157.9199981689453,97.16999816894531
2021-12-14,44.130001068115234,159.1300048828125,98.81999969482422
2021-12-15,43.939998626708984,157.94000244140625,99.43000030517578
2021-12-16,45.0,160.41000366210938,100.30000305175781
2021-12-17,43.880001068115234,156.75999450683594,97.12999725341797
2021-12-20,43.15999984741211,153.94000244140625,95.37000274658203
2021-12-21,44.189998626708984,156.08999633789062,97.7699966430664
2021-12-22,44.279998779296875,156.6999969482422,98.30000305175781
2021-12-23,44.41999816894531,157.25999450683594,99.33999633789062
2021-12-27,44.63999938964844,158.16000366210938,100.4000015258789
2021-12-28,44.70000076293945,158.63999938964844,99.97000122070312
2021-12-29,44.630001068115234,158.55999755859375,98.7300033569336
2021-12-30,44.529998779296875,158.47999572753906,98.80000305175781
2021-12-31,44.4900016784668,158.35000610351562,98.16000366210938
2022-01-03,46.18000030517578,161.6999969482422,100.19000244140625
2022-01-04,47.9900016784668,167.8300018310547,104.26000213623047
2022-01-05,47.18000030517578,163.77999877929688,101.68000030517578
2022-01-06,48.130001068115234,165.52000427246094,103.41999816894531
2022-01-07,49.18000030517578,167.16000366210938,104.05000305175781
2022-01-10,48.93000030517578,167.32000732421875,104.12999725341797
2022-01-11,49.209999084472656,167.49000549316406,105.91999816894531
2022-01-12,48.86000061035156,168.44000244140625,103.05000305175781
2022-01-13,48.7599983215332,168.22999572753906,102.55000305175781
2022-01-14,47.90999984741211,157.88999938964844,98.87999725341797
2022-01-18,46.2599983215332,151.27000427246094,94.01000213623047
2022-01-19,46.439998626708984,148.92999267578125,95.7300033569336
2022-01-20,45.75,147.66000366210938,99.83000183105469
2022-01-21,44.91999816894531,145.0800018310547,98.86000061035156
2022-01-24,44.54999923706055,144.9499969482422,98.08000183105469
2022-01-25,45.43000030517578,146.52999877929688,99.04000091552734
2022-01-26,45.900001525878906,147.9199981689453,100.16999816894531
2022-01-27,45.470001220703125,145.30999755859375,101.1500015258789
2022-01-28,45.869998931884766,146.61000061035156,101.80000305175781
2022-01-31,46.13999938964844,148.60000610351562,102.54000091552734
